1	2	0.81602556	-64.17203788	-71.92921260	-8.74794340	2.35537050	-83.84726641	-83.01838309	4040.11347300	1082.52203700	2306.47588300	4090.99938500	642.14935290	455.89902450	0.30135713	346.29275120	0.29979970	1.76502462	1.68850744	0.15313979	512.74936030	442.26881860	428.67100310	54.12172212	0.12475179	0.12649063	-40.76007404	-40.29920897	296.23230400	214.96380770	4684.32584500	9184.00493900	6.94913934	3.52447072	0.13702544
2	1	0.60575783	-72.24484105	-66.41214960	-4.90854541	3.44731106	-76.32102577	-89.11109792	2230.13238500	1651.27256300	4906.94032800	3425.28033600	974.09991250	813.07574770	0.70050464	202.88283280	1.21748066	1.50378967	0.27217731	0.31015109	879.07096200	378.21338160	317.21336640	58.37865184	0.09070000	0.10902267	-50.04618182	-40.71595855	341.91368740	345.16998030	4633.35455600	5344.93129900	3.13017529	4.25410952	-0.08390000
3	1	0.87213969	-79.75595427	-78.30394196	-8.17092602	3.95768901	-84.00171006	-85.82372103	2640.52383900	1856.10405100	2909.70319700	4766.23743800	424.98427310	331.18636520	0.46522941	665.05856610	0.86380576	0.87191739	1.58383753	1.95535059	963.10814910	476.31713230	261.95850280	43.91098283	0.05650000	0.14681266	-41.39078339	-50.76517699	371.46290500	224.69202130	9351.17165500	9806.48676900	4.45165129	2.20335459	-0.17478155
4	2	0.80412960	-61.15869660	-70.55645398	2.33861596	-0.77187496	-85.36285253	-83.25852817	2373.86938600	1017.02076000	2683.79383700	3394.69375100	896.87388750	617.61545020	0.47244637	776.76912750	1.12775689	1.17881792	1.74839696	1.13341056	849.38865510	131.14283430	122.24590680	52.68390514	0.12694556	0.13126139	-51.04435945	-46.91066780	123.51947670	243.97070770	3725.16499100	3743.38656800	4.17963702	3.91510559	0.15753966
5	2	0.89132702	-77.26807918	-76.86540734	9.51452588	-4.18441443	-84.83294370	-86.06493095	2337.34622500	2734.50479400	2868.73434600	3756.21211200	365.78553960	463.94235700	0.23944858	757.03025770	0.33700865	1.82416862	1.81043720	1.39046218	250.66526320	707.54120350	81.13589684	64.98362855	0.10454518	0.13902268	-50.25169243	-50.45043566	157.07585220	438.15537050	6326.17622400	8200.43068300	5.02175023	2.60983526	-0.06180000
6	1	0.80563152	-78.74731753	-74.01158558	-15.29591228	8.92297579	-80.37174181	-85.99957466	3762.15091400	1184.09741600	4545.41427200	3648.83571100	652.95351670	989.87953080	0.13613977	660.68587650	0.62071866	1.81608223	0.23125513	0.33089463	673.08797050	510.02269320	311.41680320	31.62006671	0.04100000	0.09150000	-48.86197625	-43.99205079	211.17223990	74.86118352	4510.06897500	8713.27970600	4.22634514	2.89202713	-0.09500000
7	2	0.90103775	-74.58446380	-63.74341319	-3.63325304	-10.16870094	-83.98195666	-84.31082982	4256.20283600	1841.85214300	4336.22794800	3268.71288800	777.25324660	395.31520580	0.41978092	839.30136320	0.10067118	0.32426113	0.48479469	0.52552297	854.96434020	438.71408450	238.75226020	64.81507526	0.09350000	0.07140000	-48.80265148	-42.28893088	479.17669980	79.12769440	9104.23529300	8400.66059900	6.74828650	3.40070573	-0.02570000
8	2	0.85792041	-75.92162240	-64.55240678	-1.93598281	1.77629931	-87.97246185	-88.89603165	3422.62552500	2781.63485100	4356.16278400	4291.83116600	192.20892200	288.22393260	0.15810628	416.24721690	0.42973348	1.27660836	1.90574484	0.84368877	971.87997720	673.14321270	79.62883292	54.02216979	0.12540247	0.12235126	-52.84775855	-50.47676553	443.38807250	54.18623928	1998.69100600	4841.92917300	5.54343915	2.13806722	0.06390000
9	1	0.74388379	-65.36815198	-76.60219742	-6.71511871	-18.18308421	-89.30462024	-84.99040725	2550.80972400	1509.75276800	3387.43135300	4122.16596400	946.38924590	682.31929490	0.57026445	395.49104050	0.68630474	1.72053711	0.93598941	0.31992789	791.25246150	431.60089420	249.76742450	41.88291113	0.05870000	0.05020000	-41.21815820	-47.62820345	291.58469960	430.17781390	943.41630160	4705.22170600	4.92878308	2.66471579	0.01430000
10	1	0.77817327	-66.77285927	-69.34050039	-12.14844754	7.19520516	-78.74890948	-86.27884059	2430.87790700	2097.07238900	3371.85130000	4826.90027300	139.92170060	192.90607850	0.73944836	457.48882590	0.12336082	0.90319187	1.44959822	0.54287717	914.69685840	302.10525070	433.18806720	35.43922378	0.06160000	0.09170000	-50.49792700	-51.91383742	227.30916060	445.13239730	3507.05478500	8662.24714500	3.82998022	3.02755067	0.04860000
11	2	0.83727473	-61.29706279	-68.35571364	4.11308248	-9.24778808	-82.62566067	-87.80503582	4343.58250800	1668.85550800	4018.44812000	4969.98363500	952.32439310	447.00712060	0.73790649	604.27987540	0.18869308	0.41387171	1.52029818	1.29952115	924.49944300	474.53118470	81.79348892	42.78438086	0.12793518	0.04930000	-46.76094882	-47.68947979	288.21500780	81.06962965	267.80940140	4304.70405800	5.82652234	4.52131718	0.13387353
12	2	0.91028106	-75.44047791	-71.92513476	-5.23628988	9.77394618	-77.57319193	-89.75574774	2112.34204900	1871.78100300	3308.61850900	2343.99937300	475.46742650	279.24072640	0.83396632	326.93585760	0.36802725	1.92237152	0.39017071	1.26170424	611.33764320	383.35472790	196.90940130	53.24629982	0.11165745	0.06490000	-53.03171088	-52.63753104	160.53705560	231.21257310	7092.07054100	1225.32438500	3.10493581	2.08028274	-0.09250000
